Rank,Title,Year,Rating,Weight,Type,Min Players,Max Players,Community Player Count Min,Community Player Count Max,Community Best Player Count Min,Community Best Player Count Max,Playing Time Min,Playing Time Max,Age,Community Age,Designers,Artists,Categories
1,Brass: Birmingham,2018,8.56901,3.8651,Strategy Game(1),2,4,2,4,3,4,60,120,14,14,Gavan Brown; Matt Tolman; Martin Wallace,Gavan Brown; Lina Cossette; David Forest; Gui Landgraf; Damien Mammoliti; Matt Tolman,Age of Reason; Economic; Industry / Manufacturing; Post-Napoleonic; Trains; Transportation
2,Ark Nova,2021,8.54095,3.7929,Strategy Game(2),1,4,1,3,2,2,90,150,14,14,Mathias Wigge,Steffen Bieker; Loïc Billiau; Dennis Lohausen,Animals; Card Game; Environmental
3,Pandemic Legacy: Season 1,2015,8.50589,2.8277,"Thematic(1), Strategy Game(3)",2,4,2,4,4,4,60,60,13,12,Rob Daviau; Matt Leacock,Chris Quilliams,Environmental; Medical
4,Gloomhaven,2017,8.54769,3.9172,"Thematic(2), Strategy Game(5)",1,4,1,4,3,3,60,120,14,14,Isaac Childres,Alexandr Elichev; Josh T. McDowell; Alvaro Nebot,Adventure; Exploration; Fantasy; Fighting; Miniatures
5,Dune: Imperium,2020,8.41418,3.0747,Strategy Game(7),1,4,1,4,3,4,60,120,14,12,Paul Dennen,Clay Brooks; Brett Nienburg; Raul Ramos; Nate Storm,Movies / TV / Radio theme; Novel-based; Political; Science Fiction
6,Twilight Imperium: Fourth Edition,2017,8.56634,4.3476,"Thematic(4), Strategy Game(6)",3,6,3,6,6,6,240,480,14,14,Dane Beltrami; Corey Konieczka; Christian T. Petersen,Scott Schomburg,Civilization; Economic; Exploration; Negotiation; Political; Science Fiction; Space Exploration; Territory Building; Wargame
7,Dune: Imperium – Uprising,2023,8.69915,3.5215,Strategy Game(4),1,6,1,6,4,4,60,120,13,12,Paul Dennen,Clay Brooks; Derek Herring; Raul Ramos; Nate Storm,Movies / TV / Radio theme; Novel-based; Science Fiction
8,War of the Ring: Second Edition,2011,8.55251,4.2248,"War Game(1), Thematic(3)",2,4,2,2,2,2,150,240,13,14,Roberto Di Meglio; Marco Maggi; Francesco Nepitello,John Howe; Fabio Maiorana,Fantasy; Fighting; Novel-based; Territory Building; Wargame
9,Terraforming Mars,2016,8.34066,3.269,Strategy Game(8),1,5,1,4,3,3,120,120,12,12,Jacob Fryxelius,Isaac Fryxelius; Daniel Fryxelius,Civilization; Economic; Environmental; Industry / Manufacturing; Science Fiction; Space Exploration; Territory Building
10,Star Wars: Rebellion,2016,8.42054,3.75,Thematic(5),2,4,2,2,2,2,180,240,14,14,Corey Konieczka,Matt Allsopp; David Ardila; Balaskas; Tiziano Baracchi; Ryan Barger; Jorge Barrero; Cassandre Bolan; Jon Bosco; Matt Bradbury; Adam Burn; Alexandre Dainche; Christina Davis; Anthony Devine; Allen Douglas; Jose Mikhail Elloso; Tony Foti; Michele Frigo; Mariusz Gandzel; Zach Graves; Richard Hanuschek; Andrew Johanson; Jeff Lee Johnson; Jason Juta; Adam Lane; Ignacio Bazán Lazcano; Ralph McQuarrie; Mark Molnar; Jake Murray; Ameen Naksewee; David Auden Nash; Mike Nash; Maciej Rebisz; Alexandru Sabo; Tony Shasteen; Stephen Somers; Matthew Starbuck; Nicholas Stohlman; Angela Sung; Darren Tan; Ryan Valle; Jose Vega; VIKO; Magali Villeneuve; Jacob Walker; Ben Zweifel,Civil War; Movies / TV / Radio theme; Science Fiction; Space Exploration; Wargame
